datetime,date,time,outside_T_C,inside_T_C_start,setpoint_C,occupied,hvac_on,hvac_thermal_kW,elec_kW,COP
2025-10-12 00:00:00-04:00,2025-10-12,00:00:00,11.111,11.111,17.0,False,True,4.9075,1.6179,3.033
2025-10-12 01:00:00-04:00,2025-10-12,01:00:00,10.711,17.0,17.0,False,False,0.0,0.0,3.021
2025-10-12 02:00:00-04:00,2025-10-12,02:00:00,10.611,15.329,17.0,False,True,1.3924,0.4613,3.018
2025-10-12 03:00:00-04:00,2025-10-12,03:00:00,10.661,15.746,17.0,False,True,1.0446,0.3459,3.02
2025-10-12 04:00:00-04:00,2025-10-12,04:00:00,10.311,15.649,17.0,False,True,1.1259,0.3741,3.009
2025-10-12 05:00:00-04:00,2025-10-12,05:00:00,9.761,15.582,17.0,False,True,1.1818,0.3949,2.993
2025-10-12 06:00:00-04:00,2025-10-12,06:00:00,9.561,15.454,17.0,False,True,1.2887,0.4315,2.987
2025-10-12 07:00:00-04:00,2025-10-12,07:00:00,8.511,15.434,20.0,True,False,0.0,0.0,2.955
2025-10-12 08:00:00-04:00,2025-10-12,08:00:00,9.261,13.595,20.0,True,True,5.0,1.6791,2.978
2025-10-12 09:00:00-04:00,2025-10-12,09:00:00,10.911,18.444,20.0,True,False,0.0,0.0,3.027
2025-10-12 10:00:00-04:00,2025-10-12,10:00:00,12.311,16.442,20.0,True,False,0.0,0.0,3.069
2025-10-12 11:00:00-04:00,2025-10-12,11:00:00,13.461,15.345,20.0,True,False,0.0,0.0,3.104
2025-10-12 12:00:00-04:00,2025-10-12,12:00:00,15.211,14.844,20.0,True,True,4.3777,1.3869,3.156
2025-10-12 13:00:00-04:00,2025-10-12,13:00:00,16.911,20.195,20.0,True,False,0.0,0.0,3.207
2025-10-12 14:00:00-04:00,2025-10-12,14:00:00,17.261,19.322,20.0,True,False,0.0,0.0,3.218
2025-10-12 15:00:00-04:00,2025-10-12,15:00:00,17.661,18.775,20.0,True,True,1.0211,0.3161,3.23
2025-10-12 16:00:00-04:00,2025-10-12,16:00:00,17.111,19.704,20.0,True,True,0.2466,0.0767,3.213
2025-10-12 17:00:00-04:00,2025-10-12,17:00:00,17.661,19.311,20.0,True,True,0.5741,0.1778,3.23
2025-10-12 18:00:00-04:00,2025-10-12,18:00:00,16.161,19.562,20.0,True,True,0.3653,0.1147,3.185
2025-10-12 19:00:00-04:00,2025-10-12,19:00:00,13.411,19.097,20.0,True,True,0.7529,0.2427,3.102
2025-10-12 20:00:00-04:00,2025-10-12,20:00:00,11.861,18.489,20.0,True,True,1.2588,0.4119,3.056
2025-10-12 21:00:00-04:00,2025-10-12,21:00:00,11.111,18.239,20.0,True,True,1.4675,0.4838,3.033
2025-10-12 22:00:00-04:00,2025-10-12,22:00:00,10.411,18.106,17.0,False,False,0.0,0.0,3.012
2025-10-12 23:00:00-04:00,2025-10-12,23:00:00,9.861,16.062,17.0,False,True,0.7819,0.261,2.996
2025-10-13 00:00:00-04:00,2025-10-13,00:00:00,9.361,15.353,17.0,False,True,1.3729,0.4606,2.981
2025-10-13 01:00:00-04:00,2025-10-13,01:00:00,9.011,15.408,17.0,False,True,1.3265,0.4466,2.97
2025-10-13 02:00:00-04:00,2025-10-13,02:00:00,8.211,15.3,17.0,False,True,1.4163,0.4807,2.946
2025-10-13 03:00:00-04:00,2025-10-13,03:00:00,7.411,15.116,17.0,False,True,1.5696,0.5371,2.922
2025-10-13 04:00:00-04:00,2025-10-13,04:00:00,7.161,14.953,17.0,False,False,0.0,0.0,2.915
2025-10-13 05:00:00-04:00,2025-10-13,05:00:00,7.161,12.883,17.0,False,False,0.0,0.0,2.915
2025-10-13 06:00:00-04:00,2025-10-13,06:00:00,7.211,11.363,17.0,False,True,4.6979,1.6109,2.916
2025-10-13 07:00:00-04:00,2025-10-13,07:00:00,7.811,15.897,20.0,True,False,0.0,0.0,2.934
2025-10-13 08:00:00-04:00,2025-10-13,08:00:00,7.961,13.749,20.0,True,True,5.0,1.7014,2.939
2025-10-13 09:00:00-04:00,2025-10-13,09:00:00,10.511,18.211,20.0,True,False,0.0,0.0,3.015
2025-10-13 10:00:00-04:00,2025-10-13,10:00:00,13.961,16.165,20.0,True,False,0.0,0.0,3.119
2025-10-13 11:00:00-04:00,2025-10-13,11:00:00,14.811,15.58,20.0,True,False,0.0,0.0,3.144
2025-10-13 12:00:00-04:00,2025-10-13,12:00:00,14.211,15.375,20.0,True,False,0.0,0.0,3.126
2025-10-13 13:00:00-04:00,2025-10-13,13:00:00,14.711,15.066,20.0,True,True,4.1116,1.3089,3.141
2025-10-13 14:00:00-04:00,2025-10-13,14:00:00,16.061,19.906,20.0,True,False,0.0,0.0,3.182
2025-10-13 15:00:00-04:00,2025-10-13,15:00:00,17.011,18.884,20.0,True,True,0.9298,0.2896,3.21
2025-10-13 16:00:00-04:00,2025-10-13,16:00:00,16.611,19.502,20.0,True,True,0.4147,0.1297,3.198
2025-10-13 17:00:00-04:00,2025-10-13,17:00:00,16.261,19.232,20.0,True,True,0.6401,0.2008,3.188
2025-10-13 18:00:00-04:00,2025-10-13,18:00:00,15.311,19.211,20.0,True,True,0.6577,0.2082,3.159
2025-10-13 19:00:00-04:00,2025-10-13,19:00:00,13.111,18.964,20.0,True,True,0.8634,0.2791,3.093
2025-10-13 20:00:00-04:00,2025-10-13,20:00:00,12.061,18.445,20.0,True,True,1.2958,0.4232,3.062
2025-10-13 21:00:00-04:00,2025-10-13,21:00:00,11.161,18.304,20.0,True,True,1.4134,0.4657,3.035
2025-10-13 22:00:00-04:00,2025-10-13,22:00:00,10.511,18.102,17.0,False,False,0.0,0.0,3.015
2025-10-13 23:00:00-04:00,2025-10-13,23:00:00,9.861,16.085,17.0,False,True,0.7621,0.2544,2.996
2025-10-14 00:00:00-04:00,2025-10-14,00:00:00,9.161,15.346,17.0,False,True,1.3781,0.4632,2.975
2025-10-14 01:00:00-04:00,2025-10-14,01:00:00,8.711,15.357,17.0,False,True,1.3694,0.4624,2.961
2025-10-14 02:00:00-04:00,2025-10-14,02:00:00,8.361,15.234,17.0,False,True,1.4714,0.4986,2.951
2025-10-14 03:00:00-04:00,2025-10-14,03:00:00,7.911,15.174,17.0,False,True,1.5218,0.5181,2.937
2025-10-14 04:00:00-04:00,2025-10-14,04:00:00,7.711,15.07,17.0,False,True,1.608,0.5486,2.931
2025-10-14 05:00:00-04:00,2025-10-14,05:00:00,7.361,15.045,17.0,False,True,1.6294,0.5578,2.921
2025-10-14 06:00:00-04:00,2025-10-14,06:00:00,7.511,14.959,17.0,False,False,0.0,0.0,2.925
2025-10-14 07:00:00-04:00,2025-10-14,07:00:00,7.411,12.98,20.0,True,True,5.0,1.711,2.922
2025-10-14 08:00:00-04:00,2025-10-14,08:00:00,7.161,17.5,20.0,True,False,0.0,0.0,2.915
2025-10-14 09:00:00-04:00,2025-10-14,09:00:00,9.711,14.753,20.0,True,True,4.3722,1.4616,2.991
2025-10-14 10:00:00-04:00,2025-10-14,10:00:00,14.061,18.66,20.0,True,False,0.0,0.0,3.122
2025-10-14 11:00:00-04:00,2025-10-14,11:00:00,16.611,17.438,20.0,True,False,0.0,0.0,3.198
2025-10-14 12:00:00-04:00,2025-10-14,12:00:00,17.911,17.219,20.0,True,False,0.0,0.0,3.237
2025-10-14 13:00:00-04:00,2025-10-14,13:00:00,18.261,17.403,20.0,True,False,0.0,0.0,3.248
2025-10-14 14:00:00-04:00,2025-10-14,14:00:00,18.111,17.631,20.0,True,False,0.0,0.0,3.243
2025-10-14 15:00:00-04:00,2025-10-14,15:00:00,21.589,17.758,20.0,True,True,2.7163,0.8114,3.348
2025-10-14 16:00:00-04:00,2025-10-14,16:00:00,21.089,22.036,20.0,True,False,0.0,0.0,3.333
2025-10-14 17:00:00-04:00,2025-10-14,17:00:00,19.889,21.784,20.0,True,False,0.0,0.0,3.297
2025-10-14 18:00:00-04:00,2025-10-14,18:00:00,16.689,21.281,20.0,True,False,0.0,0.0,3.201
2025-10-14 19:00:00-04:00,2025-10-14,19:00:00,13.489,20.061,20.0,True,False,0.0,0.0,3.105
2025-10-14 20:00:00-04:00,2025-10-14,20:00:00,11.989,18.315,20.0,True,True,1.4044,0.459,3.06
2025-10-14 21:00:00-04:00,2025-10-14,21:00:00,10.789,18.319,20.0,True,True,1.4005,0.4632,3.024
2025-10-14 22:00:00-04:00,2025-10-14,22:00:00,10.289,17.999,17.0,False,False,0.0,0.0,3.009
2025-10-14 23:00:00-04:00,2025-10-14,23:00:00,9.989,15.951,17.0,False,False,0.0,0.0,3.0
2025-10-15 00:00:00-04:00,2025-10-15,00:00:00,10.489,14.367,17.0,False,False,0.0,0.0,3.015
2025-10-15 01:00:00-04:00,2025-10-15,01:00:00,10.839,13.337,17.0,False,True,3.0528,1.0091,3.025
2025-10-15 02:00:00-04:00,2025-10-15,02:00:00,11.089,16.336,17.0,False,True,0.553,0.1823,3.033
2025-10-15 03:00:00-04:00,2025-10-15,03:00:00,10.339,15.606,17.0,False,True,1.1618,0.386,3.01
2025-10-15 04:00:00-04:00,2025-10-15,04:00:00,10.189,15.601,17.0,False,True,1.1661,0.388,3.006
2025-10-15 05:00:00-04:00,2025-10-15,05:00:00,9.739,15.562,17.0,False,True,1.1982,0.4004,2.992
2025-10-15 06:00:00-04:00,2025-10-15,06:00:00,9.189,15.453,17.0,False,True,1.2893,0.4333,2.976
2025-10-15 07:00:00-04:00,2025-10-15,07:00:00,8.789,15.336,20.0,True,True,3.8868,1.3115,2.964
2025-10-15 08:00:00-04:00,2025-10-15,08:00:00,7.889,18.261,20.0,True,False,0.0,0.0,2.937
2025-10-15 09:00:00-04:00,2025-10-15,09:00:00,8.189,15.505,20.0,True,False,0.0,0.0,2.946
2025-10-15 10:00:00-04:00,2025-10-15,10:00:00,9.189,13.561,20.0,True,True,5.0,1.6803,2.976
2025-10-15 11:00:00-04:00,2025-10-15,11:00:00,10.389,18.4,20.0,True,False,0.0,0.0,3.012
2025-10-15 12:00:00-04:00,2025-10-15,12:00:00,11.589,16.271,20.0,True,False,0.0,0.0,3.048
2025-10-15 13:00:00-04:00,2025-10-15,13:00:00,12.589,15.027,20.0,True,True,4.1438,1.3464,3.078
2025-10-15 14:00:00-04:00,2025-10-15,14:00:00,13.389,19.352,20.0,True,True,0.5399,0.1741,3.102
2025-10-15 15:00:00-04:00,2025-10-15,15:00:00,13.489,18.416,20.0,True,True,1.3202,0.4252,3.105
2025-10-15 16:00:00-04:00,2025-10-15,16:00:00,12.789,18.691,20.0,True,True,1.0908,0.3537,3.084
2025-10-15 17:00:00-04:00,2025-10-15,17:00:00,11.389,18.432,20.0,True,True,1.3067,0.4296,3.042
2025-10-15 18:00:00-04:00,2025-10-15,18:00:00,9.489,18.129,20.0,True,True,1.5593,0.5224,2.985
2025-10-15 19:00:00-04:00,2025-10-15,19:00:00,7.589,17.705,20.0,True,True,1.9129,0.6534,2.928
2025-10-15 20:00:00-04:00,2025-10-15,20:00:00,6.589,17.312,20.0,True,True,2.2396,0.7729,2.898
2025-10-15 21:00:00-04:00,2025-10-15,21:00:00,5.989,17.151,20.0,True,True,2.3742,0.8245,2.88
2025-10-15 22:00:00-04:00,2025-10-15,22:00:00,5.489,17.034,17.0,False,False,0.0,0.0,2.865
2025-10-15 23:00:00-04:00,2025-10-15,23:00:00,4.889,13.967,17.0,False,True,2.5274,0.8879,2.847
2025-10-16 00:00:00-04:00,2025-10-16,00:00:00,4.489,14.588,17.0,False,True,2.0099,0.709,2.835
2025-10-16 01:00:00-04:00,2025-10-16,01:00:00,4.239,14.317,17.0,False,True,2.2359,0.7909,2.827
2025-10-16 02:00:00-04:00,2025-10-16,02:00:00,4.039,14.323,17.0,False,True,2.2312,0.7909,2.821
2025-10-16 03:00:00-04:00,2025-10-16,03:00:00,3.739,14.268,17.0,False,True,2.2768,0.8096,2.812
2025-10-16 04:00:00-04:00,2025-10-16,04:00:00,3.339,14.203,17.0,False,True,2.3311,0.8325,2.8
2025-10-16 05:00:00-04:00,2025-10-16,05:00:00,2.989,14.114,17.0,False,True,2.4052,0.8622,2.79
2025-10-16 06:00:00-04:00,2025-10-16,06:00:00,2.789,14.044,17.0,False,False,0.0,0.0,2.784
2025-10-16 07:00:00-04:00,2025-10-16,07:00:00,2.589,11.054,20.0,True,True,5.0,1.8001,2.778
2025-10-16 08:00:00-04:00,2025-10-16,08:00:00,2.789,14.805,20.0,True,True,4.3291,1.5552,2.784
2025-10-16 09:00:00-04:00,2025-10-16,09:00:00,5.389,16.808,20.0,True,False,0.0,0.0,2.862
2025-10-16 10:00:00-04:00,2025-10-16,10:00:00,7.989,13.774,20.0,True,True,5.0,1.7009,2.94
2025-10-16 11:00:00-04:00,2025-10-16,11:00:00,9.989,18.237,20.0,True,False,0.0,0.0,3.0
2025-10-16 12:00:00-04:00,2025-10-16,12:00:00,11.689,16.046,20.0,True,False,0.0,0.0,3.051
2025-10-16 13:00:00-04:00,2025-10-16,13:00:00,12.989,14.888,20.0,True,True,4.2599,1.3787,3.09
2025-10-16 14:00:00-04:00,2025-10-16,14:00:00,13.989,19.495,20.0,True,False,0.0,0.0,3.12
2025-10-16 15:00:00-04:00,2025-10-16,15:00:00,14.589,18.032,20.0,True,True,1.6396,0.5226,3.138
2025-10-16 16:00:00-04:00,2025-10-16,16:00:00,14.689,19.085,20.0,True,True,0.7624,0.2427,3.141
2025-10-16 17:00:00-04:00,2025-10-16,17:00:00,13.889,18.832,20.0,True,True,0.9733,0.3123,3.117
2025-10-16 18:00:00-04:00,2025-10-16,18:00:00,11.189,18.687,20.0,True,True,1.0944,0.3605,3.036
2025-10-16 19:00:00-04:00,2025-10-16,19:00:00,7.989,18.008,20.0,True,True,1.66,0.5647,2.94
2025-10-16 20:00:00-04:00,2025-10-16,20:00:00,6.589,17.338,20.0,True,True,2.2182,0.7655,2.898
2025-10-16 21:00:00-04:00,2025-10-16,21:00:00,6.039,17.144,20.0,True,True,2.3799,0.826,2.881
2025-10-16 22:00:00-04:00,2025-10-16,22:00:00,5.739,17.05,17.0,False,False,0.0,0.0,2.872
2025-10-16 23:00:00-04:00,2025-10-16,23:00:00,5.539,14.045,17.0,False,True,2.4628,0.8593,2.866
2025-10-17 00:00:00-04:00,2025-10-17,00:00:00,5.339,14.74,17.0,False,True,1.8831,0.6584,2.86
2025-10-17 01:00:00-04:00,2025-10-17,01:00:00,4.989,14.502,17.0,False,True,2.0814,0.7304,2.85
2025-10-17 02:00:00-04:00,2025-10-17,02:00:00,4.739,14.473,17.0,False,True,2.1062,0.7411,2.842
2025-10-17 03:00:00-04:00,2025-10-17,03:00:00,4.539,14.414,17.0,False,True,2.155,0.7598,2.836
2025-10-17 04:00:00-04:00,2025-10-17,04:00:00,4.289,14.376,17.0,False,True,2.1863,0.7729,2.829
2025-10-17 05:00:00-04:00,2025-10-17,05:00:00,4.239,14.32,17.0,False,True,2.2334,0.79,2.827
2025-10-17 06:00:00-04:00,2025-10-17,06:00:00,4.139,14.322,17.0,False,False,0.0,0.0,2.824
2025-10-17 07:00:00-04:00,2025-10-17,07:00:00,4.139,11.616,20.0,True,True,5.0,1.7704,2.824
2025-10-17 08:00:00-04:00,2025-10-17,08:00:00,4.389,15.63,20.0,True,False,0.0,0.0,2.832
2025-10-17 09:00:00-04:00,2025-10-17,09:00:00,6.489,12.643,20.0,True,True,5.0,1.7273,2.895
2025-10-17 10:00:00-04:00,2025-10-17,10:00:00,9.389,17.008,20.0,True,False,0.0,0.0,2.982
2025-10-17 11:00:00-04:00,2025-10-17,11:00:00,11.789,14.984,20.0,True,True,4.18,1.3689,3.054
2025-10-17 12:00:00-04:00,2025-10-17,12:00:00,13.289,19.151,20.0,True,False,0.0,0.0,3.099
2025-10-17 13:00:00-04:00,2025-10-17,13:00:00,14.339,17.594,20.0,True,False,0.0,0.0,3.13
2025-10-17 14:00:00-04:00,2025-10-17,14:00:00,14.989,16.729,20.0,True,True,2.7258,0.8654,3.15
2025-10-17 15:00:00-04:00,2025-10-17,15:00:00,15.189,19.538,20.0,True,True,0.3852,0.1221,3.156
2025-10-17 16:00:00-04:00,2025-10-17,16:00:00,14.989,18.845,20.0,True,True,0.9628,0.3057,3.15
2025-10-17 17:00:00-04:00,2025-10-17,17:00:00,14.389,18.976,20.0,True,True,0.8536,0.2726,3.132
2025-10-17 18:00:00-04:00,2025-10-17,18:00:00,13.089,18.781,20.0,True,True,1.0155,0.3284,3.093
2025-10-17 19:00:00-04:00,2025-10-17,19:00:00,11.389,18.488,20.0,True,True,1.2603,0.4143,3.042
2025-10-17 20:00:00-04:00,2025-10-17,20:00:00,10.039,18.114,20.0,True,True,1.5716,0.5237,3.001
2025-10-17 21:00:00-04:00,2025-10-17,21:00:00,9.489,17.855,20.0,True,True,1.7878,0.599,2.985
2025-10-17 22:00:00-04:00,2025-10-17,22:00:00,9.339,17.777,17.0,False,False,0.0,0.0,2.98
2025-10-17 23:00:00-04:00,2025-10-17,23:00:00,9.239,15.536,17.0,False,True,1.2204,0.4099,2.977
2025-10-18 00:00:00-04:00,2025-10-18,00:00:00,9.139,15.327,17.0,False,True,1.394,0.4687,2.974
2025-10-18 01:00:00-04:00,2025-10-18,01:00:00,9.089,15.356,17.0,False,True,1.3701,0.4609,2.973
2025-10-18 02:00:00-04:00,2025-10-18,02:00:00,9.039,15.335,17.0,False,True,1.3875,0.467,2.971
2025-10-18 03:00:00-04:00,2025-10-18,03:00:00,8.839,15.327,17.0,False,True,1.3939,0.4701,2.965
2025-10-18 04:00:00-04:00,2025-10-18,04:00:00,8.689,15.276,17.0,False,False,0.0,0.0,2.961
2025-10-18 05:00:00-04:00,2025-10-18,05:00:00,8.689,13.526,17.0,False,False,0.0,0.0,2.961
2025-10-18 06:00:00-04:00,2025-10-18,06:00:00,8.939,12.241,17.0,False,False,0.0,0.0,2.968
2025-10-18 07:00:00-04:00,2025-10-18,07:00:00,9.389,11.364,20.0,True,True,5.0,1.6769,2.982
2025-10-18 08:00:00-04:00,2025-10-18,08:00:00,10.239,16.839,20.0,True,False,0.0,0.0,3.007
2025-10-18 09:00:00-04:00,2025-10-18,09:00:00,11.739,15.086,20.0,True,True,4.0954,1.3418,3.052
2025-10-18 10:00:00-04:00,2025-10-18,10:00:00,13.639,19.111,20.0,True,False,0.0,0.0,3.109
2025-10-18 11:00:00-04:00,2025-10-18,11:00:00,15.389,17.657,20.0,True,False,0.0,0.0,3.162
2025-10-18 12:00:00-04:00,2025-10-18,12:00:00,16.939,17.055,20.0,True,False,0.0,0.0,3.208
2025-10-18 13:00:00-04:00,2025-10-18,13:00:00,18.289,17.024,20.0,True,False,0.0,0.0,3.249
2025-10-18 14:00:00-04:00,2025-10-18,14:00:00,19.089,17.36,20.0,True,True,2.5828,0.7892,3.273
2025-10-18 15:00:00-04:00,2025-10-18,15:00:00,19.089,20.919,20.0,True,False,0.0,0.0,3.273
2025-10-18 16:00:00-04:00,2025-10-18,16:00:00,18.539,20.433,20.0,True,False,0.0,0.0,3.256
2025-10-18 17:00:00-04:00,2025-10-18,17:00:00,17.489,19.93,20.0,True,True,0.0587,0.0182,3.225
2025-10-18 18:00:00-04:00,2025-10-18,18:00:00,15.639,19.352,20.0,True,True,0.5403,0.1705,3.169
2025-10-18 19:00:00-04:00,2025-10-18,19:00:00,13.389,19.014,20.0,True,True,0.822,0.265,3.102
2025-10-18 20:00:00-04:00,2025-10-18,20:00:00,11.739,18.506,20.0,True,True,1.2453,0.408,3.052
2025-10-18 21:00:00-04:00,2025-10-18,21:00:00,11.339,18.202,20.0,True,False,0.0,0.0,3.04
2025-10-18 22:00:00-04:00,2025-10-18,22:00:00,11.639,16.379,17.0,False,False,0.0,0.0,3.049
2025-10-18 23:00:00-04:00,2025-10-18,23:00:00,11.939,15.12,17.0,False,True,1.5671,0.5124,3.058
